digit,type,correlation
1,Clean,0.973714906910229
1,Clean,0.9706887214914613
1,Clean,0.9743866142949812
1,Clean,0.9739207088098414
1,Clean,0.9741368575801809
1,Clean,0.9707640302335829
1,Clean,0.9708481269128134
1,Clean,0.9702611703219995
1,Clean,0.9730682940924238
1,Clean,0.9733379857652462
1,Clean,0.9700615195570905
1,Clean,0.9732675059033371
1,Clean,0.9754903852393473
1,Clean,0.9763100110928634
1,Clean,0.9710539873884558
1,Clean,0.970859106447712
1,Clean,0.9776071648331527
1,Clean,0.9725992041501728
1,Clean,0.9751893342081033
1,Clean,0.9763529148499301
1,Clean,0.9756229770999102
1,Clean,0.9748938155389811
1,Clean,0.9692282683869394
1,Clean,0.9695174533672837
1,Clean,0.972951707503195
1,Clean,0.9757173459650044
1,Clean,0.9735538819360563
1,Clean,0.9733398763834977
1,Clean,0.9723524091426388
1,Clean,0.9724142001154172
1,Clean,0.9764618064955936
1,Clean,0.9716044946298278
1,Clean,0.9749072971897542
1,Clean,0.9760706291202432
1,Clean,0.9738693491295143
1,Clean,0.9734254051163792
1,Clean,0.9749087364972059
1,Clean,0.972651103103863
1,Clean,0.9721318046477844
1,Clean,0.9752287001179837
1,Clean,0.9736790262116847
1,Clean,0.9763999353837524
1,Clean,0.9701840008202386
1,Clean,0.9696870294875254
1,Clean,0.9693527476534206
1,Clean,0.9738210514802166
1,Clean,0.9740024087733524
1,Clean,0.9744773179053993
1,Clean,0.9741084182750784
1,Clean,0.976059338731681
1,Clean,0.97465799984113
1,Clean,0.9774286167447088
1,Clean,0.9731766927609866
